Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,219,24,0
Palkia (Origin) DB+AT/SpR,391,16,0
Metagross SC+MM/Eq,299,40,0
Kyurem (White) DB+FuF/IBu,488,20,0
Lunala SC+SB/M,158,16,0
Xerneas Geo+CC/M,178,20,0
Dialga (Origin) DB+ROT/IH,415,28,0
Reshiram DB+FuF/DM,767,0,92
Zamazenta (Crowned Shield) IF+CC/BB,335,32,0
Kyurem (Black) DT+FSh/FuB,488,20,0
Kyogre W+Av/OP,334,40,0
Zekrom DB+O/FuB,388,20,0
Marshadow SC+CC/IP,531,4,11
Reshiram (Shadow) DB+FuF/DM,720,0,76
Eternatus DT+DyC/Ft,248,8,0
Palkia (Shadow) DB+AT/DM,674,0,60
Lugia DT+A/Fl,333,24,0
Metagross (Shadow) SC+MM/Eq,313,4,0
Lugia (Shadow) DT+A/Fl,371,24,0
Garchomp (Shadow) DT+Tw/EP,403,8,0
Necrozma (Dawn Wings) SC+DP/MoG,161,16,0
Yveltal SkP+DP/ObW,319,24,0
Garchomp DT+Tw/EP,368,16,0
Ho-Oh I+BrB/SF,473,40,0
Zygarde (Complete Forme) DT+Cr/Eq,443,36,0
Meloetta (Aria) Cf+Psh/DG,440,36,0
Palkia DB+AT/FiB,630,0,45
Latios DB+AuS/LrP,558,0,20
Latios (Shadow) DB+AuS/LrP,409,20,0
Kyogre (Shadow) W+Av/OP,366,20,0
Necrozma (Dusk Mane) SC+DP/Stl,258,16,0
Gyarados (Shadow) DB+AT/Tw,327,16,0
Groudon DT+FiP/PrB,293,20,0
Gholdengo H+SB/FB,228,8,0
Mewtwo (Shadow) PC+Pst/SB,307,8,0
Florges FW+M/CW,193,16,0
Solgaleo FS+PsF/IH,572,12,25
Melmetal TS+DbI/DyP,662,0,56
Keldeo (Resolute) LK+SeS/AJ,779,8,96
Latias (Shadow) DB+AuS/MsB,508,0,3
Dialga DB+IH/DM,478,28,0
Dialga (Shadow) DB+IH/DM,500,16,0
Hydreigon (Shadow) DB+BrS/Fl,526,0,9
Jirachi Cf+DD/AuS,457,16,0
Mewtwo PC+Pst/SB,263,12,0
Togekiss Pk+DG/AuS,205,0,0
Annihilape (Shadow) C+RF/IP,639,0,48
Kyurem DB+G/DC,481,12,0
Primarina W+DV/HC,424,28,0
Latias DB+AuS/MsB,674,0,60
Tapu Lele A+Psh/NM,181,20,0
Dragonite (Shadow) DB+TP/SP,720,0,76
Goodra DB+AT/DM,709,0,72
Keldeo (Ordinary) LK+AJ/SSw,779,8,96
Tyranitar (Shadow) DB+BrS/SE,840,0,117
Sylveon FW+M/SB,185,16,0
Landorus (Therian) MS+SSt/SE,483,24,0
Gyarados DB+AT/Cr,543,12,15
Annihilape C+RF/IP,627,28,44
Groudon (Shadow) DT+FiP/PrB,366,20,0
Ho-Oh (Shadow) I+BrB/SF,270,20,0
Volcanion I+Sc/EP,651,0,52
Dragonite DB+TP/SP,688,0,65
Urshifu (Single Strike) SkP+DyP/Pbk,659,12,55
Hydreigon DB+BrS/Fl,575,8,26
Heatran (Shadow) FS+MgS/EP,610,40,38
Raikou (Shadow) TS+WC/AuS,805,0,105
Rhyperior MSl+DR/RW,446,40,0
Baxcalibur DB+GlR/Av,146,40,0
Giratina (Origin) DT+SB/OW,630,0,45
Urshifu (Rapid Strike) W+AJ/DyP,718,12,75
Zapdos (Shadow) TS+DrlP/HW,703,0,70
Rhyperior (Shadow) MSl+DR/RW,455,20,0
Enamorus (Therian) FW+MF/M,171,16,0
Giratina (Altered) (Shadow) DB+AP/DC,167,56,0
Raikou TS+AuS/WC,816,8,109
Tyranitar DB+BrS/SE,639,0,48
Conkeldurr (Shadow) FPm+DyP/BrS,616,0,40
