Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,406,10,0
Barbaracle FC+CrC/SE,200,30,0
Milotic DT+AT/Wr,354,20,0
Golisopod FC+XS/AJ,351,0,0
Goodra DB+AT/TP,431,30,0
Gyarados DB+Tw/AT,611,10,35
Perrserker SC+CC/TBl,210,40,0
Shelgon DB+Tw/Ft,455,30,0
Pawniard FC+NS/XS,633,0,42
Sliggoo DB+BS/DgP,576,0,24
Altaria DB+M/Ft,808,100,97
Blastoise RO+HC/SkB,330,30,0
Lapras Psy+SpA/DgP,254,40,0
Dewgong IS+IW/DR,500,0,0
Seaking Pk+DR/Mh,398,10,0
Walrein PS+ISp/Eq,538,0,12
Pelipper WA+WBW/Hu,469,10,0
Dragonair DB+AT/Wr,484,20,0
Dewott FC+XS/AT,382,10,0
Dondozo W+O/Li,489,30,0
Kingdra DB+Sw/S,313,40,0
Sandslash (Alolan) PS+DR/IP,592,0,29
Lumineon G+AT/SvW,350,30,0
Bronzong Cf+Psh/WBW,375,10,0
Dragonite DB+SP/TP,805,70,96
Thievul SkP+NS/PR,472,0,0
Zweilous DB+BS/DP,439,30,0
Lokix SkP+XS/TBl,525,0,8
Sealeo PS+BS/S,416,20,0
Dragalge DT+O/AT,512,0,4
Drapion PSt+Cr/AT,671,0,54
Samurott FC+HC/Mh,437,20,0
Castform (Rainy) WG+WBW/T,332,20,0
Wailord RO+S/Re,327,0,0
Malamar Psy+SP/FoP,258,20,0
Politoed MS+WBW/Eq,359,30,0
Kingambit MSo+FoP/XS,487,10,0
Samurott (Hisuian) FC+SSw/XS,234,40,0
Skuntank PJ+TBl/Cr,621,0,38
Arctibax DB+Av/DC,324,40,0
Tentacruel Ac+Sc/Pbk,506,0,2
Skarmory AS+BrB/SA,522,0,7
Salamence DT+Fl/BrS,869,60,116
Aron MSo+RT/BS,480,0,0
Klinklang TS+ZC/MrS,221,30,0
Kabutops FC+SE/AJ,225,30,0
Metagross FC+MM/Eq,522,0,7
Wailmer RO+BS/Sc,347,20,0
Tyranitar DB+BrS/SE,329,30,0
Aggron DT+MeB/RT,485,10,0
Hydreigon DB+BrS/Fl,550,100,16
Sandshrew (Alolan) PS+NS/GB,440,40,0
Relicanth WG+AP/AT,401,40,0
Bombirdier SkP+Fl/RT,649,0,47
Swanna G+Fl/AJ,496,0,0
Qwilfish PSt+AT/SB,630,0,41
Drampa DB+Sw/O,579,100,25
Wartortle WG+AJ/IB,563,20,20
Mightyena SkP+Cr/PF,323,40,0
Feraligatr SC+HC/Cr,392,20,0
Lairon MSo+RT/RS,423,10,0
Grimer (Alolan) PJ+Cr/SlB,707,0,65
Murkrow Pk+DrlP/FoP,802,90,95
Revavroom PJ+GB/Ov,649,0,47
Starmie Psy+AJ/PG,221,30,0
Alomomola W+P/HP,614,0,36
Muk (Alolan) PJ+DP/SW,707,0,65
Raticate (Alolan) QA+Cr/HF,450,30,0
Druddigon DT+NS/RT,792,100,92
Kabuto MS+RT/AJ,442,10,0
Baxcalibur DB+GlR/Av,346,20,0
