Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,311,6,0
Lickilicky RO+BS/SB,641,26,46
Corviknight SdA+AC/Pbk,546,7,15
Tinkaton FW+GH/Bd,574,27,24
Corviknight (Shadow) SdA+AC/Pbk,629,3,42
Florges FW+CW/DV,416,10,0
Virizion DK+LB/SSw,345,2,0
Empoleon (Shadow) MSo+HC/DrlP,706,37,67
Empoleon MSo+HC/DrlP,740,2,78
Moltres (Galarian) SkP+Fl/BrB,691,6,62
Forretress VS+RT/ST,586,15,28
Jellicent H+S/SB,257,6,0
Zygarde (Complete Forme) DT+Cr/Eq,397,3,0
Ninetales (Alolan) PS+WBI/CW,682,30,59
Forretress (Shadow) VS+RT/ST,549,3,16
Ninetales (Alolan) (Shadow) PS+WBI/CW,641,6,46
Kingdra DB+S/Sw,512,18,4
Dusknoir A+DyP/ShP,247,41,0
Lapras Psy+SpA/IB,561,6,20
Registeel LO+FC/FB,583,3,27
Dusknoir (Shadow) A+DyP/ShP,277,29,0
Blastoise RO+HC/SkB,635,3,44
Cramorant Pk+Dve/Fl,414,29,0
Feraligatr (Shadow) SC+HC/IB,490,2,0
Lapras (Shadow) Psy+SpA/IB,709,2,68
Malamar (Shadow) Psy+FoP/SP,369,29,0
Regidrago DB+DrE/VG,592,3,30
Talonflame I+Fl/BrB,506,5,2
Dondozo W+S/O,440,15,0
Walrein PS+ISp/Eq,604,2,34
Walrein (Shadow) PS+ISp/Eq,543,2,14
Giratina (Altered) DB+DC/SS,367,34,0
Malamar Psy+FoP/SP,391,14,0
Malamar (Mega) Psy+FoP/SP/Psb+,398,14,0
Bellibolt SkP+PbC/ZC,570,3,23
Ninetales E+WBF/EB,374,5,0
Annihilape LK+RF/CC,171,17,0
Kingdra (Shadow) DB+S/Sw,408,41,0
Talonflame (Shadow) I+Fl/BrB,166,13,0
Annihilape (Shadow) LK+RF/CC,110,13,0
Steelix TF+PsF/Cr,666,3,54
Cresselia PC+GK/M,314,46,0
Giratina (Altered) (Shadow) DB+DC/SS,240,53,0
Cradily Ac+RT/GK,842,2,111
Runerigus SC+RT/SB,208,6,0
Milotic W+AT/Wr,589,3,29
Seaking Pk+DR/IW,418,2,0
Steelix (Shadow) TF+PsF/Cr,746,14,80
Feraligatr SC+HC/IB,487,6,0
Swampert MS+HC/Eq,237,25,0
Clefable FW+MM/M,345,18,0
Cradily (Shadow) Ac+RT/GK,820,2,104
Cresselia (Shadow) PC+GK/M,371,10,0
Ninetales (Shadow) E+WBF/EB,446,5,0
Oranguru Cf+BrS/TBl,626,15,41
Ampharos (Shadow) VS+BrS/TBl,737,14,77
Aromatisse FW+Psh/M,373,18,0
Orthworm MSl+RT/Eq,703,14,66
Togekiss Pk+Psh/AuS,389,29,0
Turtonator I+BrS/DC,419,41,0
Ampharos VS+BrS/TBl,688,6,61
Gyarados DB+AT/Tw,598,6,32
Hydreigon (Shadow) DB+BrS/Fl,719,25,71
Melmetal TS+DbI/DyP,592,2,30
Hippowdon SdA+WBR/EP,383,14,0
Milotic (Shadow) W+AT/Wr,546,6,15
Raikou (Shadow) TS+WC/AuS,357,37,0
Toucannon (Shadow) Pk+BBl/DrlP,555,5,18
Cobalion DK+SSw/SE,500,2,0
Golisopod FC+XS/AJ,623,6,40
Hippowdon (Shadow) SdA+WBR/EP,258,25,0
Sylveon FW+M/SB,352,6,0
Toucannon Pk+BBl/DrlP,490,41,0
Guzzlord DT+BrS/DC,858,2,116
Seismitoad MS+EP/IW,386,14,0
Primarina W+DV/HC,328,41,0
Aurorus PS+WBI/MeB,861,25,117
Weezing (Galarian) FW+BrS/Sl,586,46,28
Dragalge DT+AT/O,589,22,29
Samurott FC+HC/Mh,567,6,22
Sandslash (Alolan) PS+IP/DR,746,25,80
Sandslash (Alolan) (Shadow) PS+IP/DR,953,1,147
Weezing (Galarian) (Shadow) FW+BrS/Sl,604,10,34
Drapion PSt+Cr/AT,641,3,46
Tentacruel Ac+Sc/Pbk,461,46,0
Dudunsparce RO+BS/DR,703,2,66
Goodra DB+AT/PW,632,3,43
Stunfisk TS+MB/D,331,38,0
Tentacruel (Shadow) Ac+Sc/Pbk,500,34,0
Blastoise (Shadow) RO+HC/IB,574,18,24
Gyarados (Shadow) DB+AT/Tw,737,17,77
Aurorus (Shadow) PS+WBI/MeB,953,1,147
Raichu (Mega X) VS+BkB/TBl/VT+,632,2,43
Crustle FC+XS/RW,833,6,108
Drapion (Shadow) PSt+AT/Cr,703,6,66
Oinkologne (Female) MSl+BS/TBl,746,2,80
Kommo-o DT+ClS/UH,416,2,0
Skeledirge I+TSo/SB,350,17,0
Swampert (Shadow) MS+HC/Eq,279,25,0
Cofagrigus SC+SB/DP,269,6,0
Gastrodon MSl+BS/EP,224,37,0
Ludicolo A+WBW/EB,558,3,19
Articuno PS+IW/Hu,712,17,69
Grimmsnarl SkP+FoP/PR,651,14,49
Grumpig Psy+DyP/SB,260,41,0
Samurott (Shadow) FC+HC/Mh,728,2,74
Miltank RO+BS/IB,820,26,104
