Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,202,27,0
Corviknight SdA+AC/IH,248,8,0
Corviknight (Shadow) SdA+AC/Pbk,339,35,0
Florges FW+CW/DV,586,0,33
Empoleon MSo+HC/DrlP,186,35,0
Melmetal TS+DbI/DyP,179,17,0
Mimikyu SC+SS/PR,672,0,66
Snorlax (Shadow) Psy+BS/Eq,489,18,0
Empoleon (Shadow) MSo+HC/DrlP,243,35,0
Moltres (Galarian) SkP+Fl/BrB,698,0,76
Virizion DK+LB/SSw,643,9,55
Zygarde (Complete Forme) DT+Cr/Bd,824,7,124
Feraligatr SC+HC/IB,531,7,12
Feraligatr (Shadow) SC+HC/IB,355,35,0
Snorlax Psy+BS/Eq,586,0,33
Jellicent H+S/SB,575,7,29
Giratina (Altered) DB+AP/ShF,753,8,97
Guzzlord DT+BrS/SlB,895,8,151
Skeledirge I+TSo/SB,338,8,0
Cramorant Pk+Dve/Fl,340,44,0
Ninetales (Alolan) PS+WBI/CW,803,0,116
Rillaboom Scr+DrB/EP,467,27,0
Lapras Psy+SpA/IB,515,0,6
Registeel LO+FC/FB,226,17,0
Dusknoir A+DyP/ShP,722,0,85
Lapras (Shadow) Psy+SpA/IB,437,9,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,764,0,101
Dusknoir (Shadow) A+DyP/ShP,667,0,64
Muk (Alolan) PJ+BrS/IP,471,9,0
Clefable FW+MM/DK,500,0,0
Dondozo W+S/O,568,7,26
Forretress VS+RT/ST,374,7,0
Giratina (Altered) (Shadow) DB+AP/SS,719,0,84
Regidrago DB+DrE/VG,691,0,73
Blastoise Bi+HC/SkB,394,35,0
Cresselia PC+GK/M,492,44,0
Talonflame I+Fl/BrB,360,8,0
Runerigus SC+RT/SB,467,18,0
Walrein (Shadow) PS+ISp/Eq,667,0,64
Deoxys (Defense) LK+PB/Tb,575,8,29
Steelix TF+PsF/Eq,355,25,0
Cresselia (Shadow) PC+GK/M,568,8,26
Forretress (Shadow) VS+RT/ST,325,52,0
Muk (Alolan) (Shadow) PJ+BrS/IP,583,0,32
Walrein PS+ISp/Eq,465,27,0
Malamar (Mega) Psy+FoP/SP/Psb+,672,0,66
Ninetales E+WBF/EB,330,53,0
Steelix (Shadow) TF+PsF/Cr,389,7,0
Seaking Pk+DR/IW,424,44,0
Ampharos VS+BrS/TBl,539,7,15
Cradily (Shadow) Ac+RT/GK,573,0,28
Primarina W+HC/M,633,0,51
Toucannon Pk+BBl/DrlP,374,45,0
Ampharos (Shadow) VS+BrS/TBl,420,53,0
Bellibolt SkP+PbC/ZC,586,43,33
Talonflame (Shadow) I+Fl/BrB,217,18,0
Malamar (Shadow) Psy+FoP/SP,751,26,96
Togekiss Pk+Psh/AuS,575,0,29
Seismitoad MS+EP/IW,421,44,0
Aromatisse FW+M/Psh,698,0,76
Kingdra DB+S/Sw,636,8,52
Ninetales (Shadow) E+WBF/EB,380,8,0
Samurott FC+HC/Mh,528,7,11
Swampert MS+HC/Eq,510,7,4
Milotic (Shadow) W+AT/Wr,526,7,10
Toucannon (Shadow) Pk+BBl/DrlP,443,45,0
Bombirdier SkP+Fl/DR,680,0,69
Golisopod FC+XS/AJ,581,7,31
Kingdra (Shadow) DB+S/Sw,722,17,85
Malamar Psy+SP/FoP,664,0,63
Oinkologne (Female) TD+BS/TBl,437,27,0
Articuno PS+IW/Hu,641,0,54
Miltank RO+BS/HH,578,8,30
Turtonator I+BrS/DC,696,25,75
Annihilape LK+RF/IP,599,0,38
Gyarados (Shadow) DB+AT/Tw,565,9,25
