Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Aegislash (Shield),100,681,steel,ghost,65.5,185.4,110,1335807,46,935,Psycho Cut,Shadow Ball,Gyro Ball,9,9,5,75000
Tinkaton,91.1,959,fairy,steel,76,100.8,101,773741,25,767,Fairy Wind,Gigaton Hammer,Bulldoze,7,5,3,75000
Registeel,90.9,379,steel,none,68.4,136,92,855821,22.5,767,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Clodsire,90.3,980,poison,ground,68,85.6,148,861478,29.5,768,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Carbink,89,703,rock,fairy,67.6,202.7,101,1383955,50,968,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Electivire (Shadow),88.2,466,electric,none,102.6,72.2,77,570394,18,766,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Azumarill,87.8,184,water,fairy,72.7,104.7,149,1134142,43,908,Bubble,Ice Beam,Play Rough,5,6,3,50000
Lanturn,87.8,171,water,electric,75,75.5,139,787088,27,768,Water Gun,Surf,Thunderbolt,15,19,3,50000
Registeel (Shadow),87.5,379,steel,none,68.3,135.2,91,840309,23,758,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Clefable,87.3,36,fairy,none,83.4,80.2,105,702311,23,766,Fairy Wind,Moonblast,Meteor Mash,7,5,1,10000
Moltres (Galarian),86.8,146,dark,flying,82.4,96.3,88,698291,17.5,761,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Toxicroak (Shadow),86.5,454,poison,fighting,97.5,67.1,92,601887,22.5,767,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Corsola (Galarian),86.3,222,ghost,none,79,129.7,111,1137339,47.5,949,Astonish,Night Shade,Power Gem,5,5,3,50000
Lapras,86.3,131,water,ice,74.9,82,128,786150,21.5,767,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Blacephalon,86.2,806,fire,ghost,124.2,63.3,60,471712,16.5,766,Incinerate,Mind Blown,Shadow Ball,2,3,20,100000
Empoleon,86.2,395,water,steel,89.6,83.7,87,652458,19,766,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Jellicent,86.2,593,water,ghost,76.3,90.4,111,765625,24,767,Hex,Surf,Shadow Ball,4,4,3,50000
Malamar,86.2,687,dark,psychic,83.9,83.4,99,692729,23.5,764,Psywave,Superpower,Foul Play,10,10,3,50000
Empoleon (Shadow),86,395,water,steel,89.6,83.7,87,652458,19,766,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Raikou,85.9,243,electric,none,94.4,79.1,83,619764,16,766,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Grumpig,85.7,326,psychic,none,81.1,94,94,716600,23.5,766,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Murkrow (Shadow),85.7,198,dark,flying,110.1,62.4,104,714505,41,887,Peck,Drill Peck,Foul Play,5,5,3,50000
Raikou (Shadow),85.7,243,electric,none,95.6,78.6,80,601133,15.5,762,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Blaziken (Shadow),85.6,257,fire,fighting,103,65,85,569075,19.5,766,Ember,Aura Sphere,Blast Burn,5,6,3,10000
Corviknight,85.6,823,flying,steel,76.5,93.5,107,765344,23,768,Sand Attack,Air Cutter,Payback,9,15,1,10000
Medicham,85.6,308,fighting,psychic,85.6,111.7,113,1080452,49,962,Psycho Cut,Ice Punch,Dynamic Punch,5,5,3,50000
Mandibuzz,84.9,630,dark,flying,65.9,108.2,125,891298,26.5,768,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Stunfisk (Galarian),84.8,618,ground,steel,72.6,90.6,123,809040,26,767,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Cofagrigus,84.6,563,ghost,none,79.9,118.3,78,737269,24.5,767,Shadow Claw,Shadow Ball,Return,7,9,3,50000
Alomomola,84.4,594,water,none,69.7,71.1,170,842464,26,767,Waterfall,Hydro Pump,Blizzard,8,8,5,75000
Dondozo,84.4,977,water,none,74.8,78.5,133,780949,18.5,767,Waterfall,Surf,Outrage,5,6,5,75000
Feraligatr,84.4,160,water,none,88.6,84,89,662374,19.5,768,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Kommo-o,84.4,784,dragon,fighting,88.5,98.6,76,663184,16.5,766,Dragon Tail,Clanging Scales,Upper Hand,4,4,5,75000
Toxapex,84.4,748,poison,water,69.5,169.7,89,1049679,38,856,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Altaria (Shadow),84.3,334,dragon,flying,74,108.7,98,788292,28.5,767,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Greninja (Shadow),84.3,658,water,dark,99.8,71.8,82,587582,21,767,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Samurott,84.3,503,water,none,91.6,72.2,97,641511,19.5,768,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Crustle,84.1,558,bug,rock,86.1,96.4,82,680603,22,767,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Malamar (Shadow),84.1,687,dark,psychic,83.9,83.4,99,692729,23.5,764,Psywave,Foul Play,Superpower,10,10,3,50000
Regidrago,84.1,895,dragon,none,87.2,44.9,172,673428,20,767,Dragon Breath,Dragon Energy,Vise Grip,12,10,20,100000
Stunfisk,84,618,ground,electric,72.6,90.6,123,809040,26,767,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Tinkatuff,84,958,fairy,steel,83.8,108.1,120,1087054,50,955,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Typhlosion (Hisuian),84,157,fire,ghost,99.9,76.5,77,588461,18.5,767,Ember,Shadow Ball,Wild Charge,6,5,3,10000
Altaria,83.8,334,dragon,flying,74,108.7,98,788292,28.5,767,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Shelgon,83.8,372,dragon,none,88.2,85.2,88,661288,27.5,766,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Tentacruel,83.8,73,water,poison,77.9,102.7,93,744031,23,765,Acid,Scald,Payback,7,8,3,50000
Wormadam (Trash),83.8,413,bug,steel,80.8,116.3,104,977292,41,888,Sucker Punch,Bug Buzz,Iron Head,9,8,1,10000
Araquanid,83.7,752,water,bug,70.8,126.5,98,877708,32,792,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Rufflet,83.7,627,normal,flying,100.4,73,120,879504,46.5,941,Peck,Brave Bird,Fly,7,6,5,75000
Cresselia,83.5,488,psychic,none,66.7,115,114,874437,20,766,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
