Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,297,50,0
Corviknight SdA+AC/IH,463,33,0
Snorlax (Shadow) Psy+BS/Eq,653,22,50
Corviknight (Shadow) SdA+AC/Pbk,334,36,0
Melmetal TS+DbI/DyP,509,5,3
Virizion DK+LB/SSw,674,8,57
Zygarde (Complete Forme) DT+Cr/Bd,333,36,0
Empoleon MSo+HC/DrlP,446,22,0
Empoleon (Shadow) MSo+HC/DrlP,656,8,51
Mimikyu SC+SS/PR,266,8,0
Snorlax Psy+BS/Eq,668,5,55
Florges FW+CW/DV,607,5,35
Moltres (Galarian) SkP+Fl/BrB,234,8,0
Feraligatr (Shadow) SC+HC/IB,579,8,26
Feraligatr SC+HC/IB,440,8,0
Jellicent H+S/SB,380,22,0
Giratina (Altered) DB+AP/ShF,357,22,0
Cramorant Pk+Dve/Fl,552,22,17
Guzzlord DT+BrS/SlB,309,22,0
Skeledirge I+TSo/SB,455,22,0
Rillaboom Scr+DrB/EP,428,36,0
Lapras Psy+SpA/IB,625,5,41
Lapras (Shadow) Psy+SpA/IB,576,50,25
Dusknoir A+DyP/ShP,420,8,0
Ninetales (Alolan) PS+WBI/CW,465,36,0
Dondozo W+S/O,616,5,38
Dusknoir (Shadow) A+DyP/ShP,214,25,0
Registeel LO+FC/FB,524,47,8
Blastoise Bi+HC/SkB,433,36,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,530,22,10
Forretress VS+RT/ST,493,33,0
Giratina (Altered) (Shadow) DB+AP/SS,465,36,0
Regidrago DB+DrE/VG,443,22,0
Ninetales E+WBF/EB,462,36,0
Cresselia PC+GK/M,413,16,0
Muk (Alolan) PJ+BrS/IP,314,22,0
Clefable FW+MM/DK,533,5,11
Talonflame I+Fl/BrB,592,36,30
Forretress (Shadow) VS+RT/ST,355,36,0
Walrein PS+ISp/Eq,487,36,0
Walrein (Shadow) PS+ISp/Eq,696,8,64
Deoxys (Defense) LK+PB/Tb,460,2,0
Runerigus SC+RT/SB,334,8,0
Steelix TF+PsF/Eq,552,19,17
Seaking Pk+DR/IW,622,5,40
Cresselia (Shadow) PC+GK/M,362,19,0
Steelix (Shadow) TF+PsF/Cr,588,5,29
Swampert MS+HC/Eq,598,36,32
Toucannon Pk+BBl/DrlP,576,22,25
Milotic (Shadow) W+AT/Wr,476,22,0
Primarina W+HC/M,647,8,48
Ampharos VS+BrS/TBl,527,22,9
Cradily (Shadow) Ac+RT/GK,463,36,0
Malamar (Shadow) Psy+FoP/SP,258,8,0
Ampharos (Shadow) VS+BrS/TBl,628,8,42
Talonflame (Shadow) I+Fl/BrB,270,39,0
Bellibolt SkP+PbC/ZC,382,36,0
Seismitoad MS+EP/IW,561,50,20
Annihilape LK+RF/IP,708,8,68
Miltank RO+BS/HH,564,5,21
Togekiss Pk+Psh/AuS,628,36,42
Malamar Psy+SP/FoP,208,8,0
Toucannon (Shadow) Pk+BBl/DrlP,527,8,9
Ninetales (Shadow) E+WBF/EB,607,22,35
Samurott FC+HC/Mh,225,39,0
Kingdra DB+S/Sw,530,36,10
Gyarados (Shadow) DB+AT/Tw,573,8,24
Muk (Alolan) (Shadow) PJ+BrS/IP,340,8,0
Golisopod FC+XS/AJ,450,8,0
Turtonator I+BrS/DC,464,36,0
Milotic W+AT/Wr,426,36,0
Bombirdier SkP+Fl/DR,292,8,0
Kingdra (Shadow) DB+S/Sw,585,8,28
Annihilape (Shadow) LK+RF/IP,653,8,50
Gyarados DB+AT/Tw,616,8,38
Oranguru Cf+BrS/TBl,453,5,0
Oinkologne (Female) TD+BS/TBl,527,5,9
Cradily Ac+RT/GK,524,19,8
Articuno PS+IW/Hu,375,36,0
Orthworm MSl+IH/RT,656,5,51
Piloswine (Shadow) PS+ISp/HH,644,8,47
Aromatisse FW+M/Psh,503,50,1
Tentacruel Ac+Sc/Pbk,699,8,65
Blastoise (Shadow) Bi+HC/SkB,445,8,0
Cofagrigus SC+SB/EB,395,8,0
