Pokemon,Battle Rating,Energy Remaining,HP Remaining
Jellicent H+S/SB,333,46,0
Kingdra DB+O/Sw,406,96,0
Ludicolo A+WBW/EB,388,46,0
Lanturn Sp+S/Tb,724,16,67
Cradily BS+RT/GK,845,1,103
Kingdra (Shadow) DB+Sw/O,444,84,0
Abomasnow Lf+WBI/EB,363,46,0
Abomasnow (Shadow) Lf+WBI/EB,433,100,0
Araquanid BBi+BBu/BuB,352,9,0
Empoleon MSo+HC/DrlP,237,22,0
Lapras Psy+SpA/SkB,298,50,0
Sandslash (Alolan) SC+IP/DR,256,34,0
Carbink RTh+RS/M,119,22,0
Sandslash (Alolan) (Shadow) SC+IP/DR,256,34,0
Cradily (Shadow) Ac+RT/GK,651,1,45
Empoleon (Shadow) MSo+HC/DrlP,196,2,0
Toxapex PJ+Bri/SW,570,24,21
Bastiodon SD+SE/Ft,118,34,0
Barbaracle FC+CrC/SE,373,22,0
Tentacruel Ac+Sc/Pbk,593,1,28
Gyarados DB+AT/Tw,355,22,0
Bastiodon (Shadow) SD+SE/Ft,107,22,0
Golisopod FC+XS/AJ,458,100,0
Lileep Ac+AP/GK,708,1,62
Seaking Pk+DR/Mh,344,34,0
Gastrodon MSl+BS/EP,309,46,0
Pelipper WA+WBW/Hu,506,1,2
Arctibax DB+Av/DC,397,96,0
Araquanid (Shadow) BBi+BBu/WP,316,22,0
Quaquaval LK+CC/HC,333,14,0
Milotic (Shadow) DT+AT/Wr,316,18,0
Mantine WA+Tw/AA,264,34,0
Lileep (Shadow) Ac+AP/GK,651,1,45
Gyarados (Shadow) DB+AT/Tw,384,47,0
Samurott FC+HC/Mh,349,34,0
Samurott (Shadow) FC+HC/Mh,459,50,0
Tentacruel (Shadow) Ac+Sc/Pbk,513,1,4
Qwilfish (Shadow) PSt+AT/SB,475,50,0
Starmie (Shadow) Psy+AJ/PG,408,50,0
Crustle FC+XS/RW,413,34,0
Tauros (Aqua) DK+AJ/TBl,364,18,0
Qwilfish PSt+AT/SB,361,26,0
Dewott (Shadow) FC+AT/XS,390,22,0
Swampert MS+HC/Eq,573,1,22
Azumarill B+IB/PR,342,8,0
Slowbro Cf+DrP/P,295,45,0
Blastoise RO+HC/SkB,365,34,0
Poliwrath (Shadow) MS+IW/DyP,310,34,0
Dewott FC+AT/XS,308,30,0
Baxcalibur DB+GlR/Av,476,46,0
Milotic DT+AT/Wr,328,22,0
Quagsire MS+AT/MB,540,1,12
Bruxish Cf+AT/PsF,367,22,0
Lairon MSo+RT/BS,254,26,0
Slowbro (Shadow) Cf+DrP/P,298,22,0
Starmie Psy+AJ/PG,451,50,0
Quagsire (Shadow) MS+AT/MB,428,46,0
Lapras (Shadow) Psy+SpA/SkB,396,50,0
Regirock LO+SE/FB,307,46,0
Walrein PS+ISp/Eq,308,34,0
Poliwrath MS+IW/DyP,273,29,0
Golem (Alolan) (Shadow) VS+WC/RB,431,42,0
Crustle (Shadow) FC+XS/RW,413,34,0
Aron MSo+RT/BS,236,26,0
Aurorus PS+WBI/MeB,271,26,0
Swampert (Shadow) MS+HC/Eq,513,100,4
Froslass H+Av/SB,400,46,0
Ninetales E+WBF/EB,412,46,0
Swanna G+AJ/Fl,343,30,0
Feraligatr (Shadow) SC+HC/Cr,380,34,0
Politoed (Shadow) MS+WBW/Eq,341,34,0
Probopass Sp+RS/ZC,294,25,0
Blastoise (Shadow) RO+HC/SkB,365,34,0
Swanna (Shadow) G+AJ/Fl,391,55,0
Probopass (Shadow) Sp+RS/ZC,487,25,0
Castform (Sunny) E+WBF/SoB,356,46,0
Tyrunt DT+RT/St,468,55,0
Feraligatr SC+HC/Cr,380,34,0
Lumineon G+AT/SvW,368,42,0
Solrock Psy+WBF/RS,296,22,0
Walrein (Shadow) PS+ISp/Eq,409,34,0
Naclstack MS+RT/RB,225,34,0
Froslass (Shadow) H+Av/SB,657,100,47
Primarina W+DV/HC,379,5,0
Dondozo W+S/O,687,12,56
Ninetales (Shadow) E+WBF/EB,305,10,0
Samurott (Hisuian) FC+DP/XS,473,50,0
Greninja (Shadow) WSh+HC/NS,573,100,22
Graveler (Alolan) (Shadow) VS+SE/RB,439,42,0
Tapu Fini WG+S/NM,577,0,23
Blaziken (Shadow) E+AuS/BB,491,50,0
Garganacl MS+RT/RB,327,34,0
Palkia (Shadow) DB+AT/DM,570,68,21
Kabutops FC+AJ/SE,460,50,0
Lunatone Psy+WBI/RS,296,22,0
Sealeo PS+S/BS,282,34,0
Turtonator E+BrS/DC,775,100,82
Whiscash MS+MB/Sc,604,1,31
Lairon (Shadow) MSo+RT/BS,237,22,0
Tyrantrum DT+RT/Cr,513,100,4
Golem (Alolan) VS+WC/RB,431,42,0
Politoed MS+WBW/Eq,341,34,0
Aron (Shadow) MSo+RT/BS,228,22,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,236,26,0
Whiscash (Shadow) MS+MB/Sc,503,1,1
Wailmer (Shadow) RO+Sc/BS,351,22,0
Aggron DT+RT/T,353,1,0
Frigibax DB+Av/DC,500,5,0
Graveler (Alolan) VS+SE/RB,435,42,0
Seismitoad MS+EP/IW,295,42,0
