Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,271,14,0
Lickilicky RO+BS/SB,526,1,7
Tinkaton FW+GH/Bd,400,27,0
Altaria DB+SA/Ft,326,14,0
Empoleon MSo+HC/DrlP,422,46,0
Altaria (Shadow) DB+SA/Ft,391,14,0
Empoleon (Shadow) MSo+HC/DrlP,487,46,0
Quagsire (Shadow) MS+AT/MB,552,27,14
Quagsire MS+AT/MB,431,53,0
Jellicent H+S/SB,282,1,0
Forretress VS+ST/RT,253,33,0
Ninetales E+WBF/EB,293,20,0
Ninetales (Shadow) E+WBF/EB,349,20,0
Feraligatr SC+HC/IB,608,1,29
Forretress (Shadow) VS+ST/RT,253,7,0
Corsola (Galarian) A+NSh/PG,241,1,0
Jumpluff FW+EB/Acr,379,14,0
Clodsire PSt+Eq/SE,206,14,0
Corviknight SdA+AC/Pbk,426,27,0
Fearow Pk+DrlP/DR,391,20,0
Azumarill B+IB/PR,240,27,0
Feraligatr (Shadow) SC+HC/IB,384,46,0
Kingdra DB+S/Sw,671,1,46
Guzzlord DT+BrS/SlB,664,1,44
Lapras Psy+SpA/IB,563,1,17
Corviknight (Shadow) SdA+AC/Pbk,574,14,20
Furret SkP+Sw/TBl,619,1,32
Kingdra (Shadow) DB+S/Sw,385,46,0
Dragonair (Shadow) DB+Wr/AT,389,46,0
Sableye (Shadow) SC+FoP/DrP,372,46,0
Seismitoad MS+EP/IW,373,40,0
Umbreon Sn+FoP/LR,563,8,17
Medicham PC+IP/DyP,400,27,0
Talonflame I+Fl/BrB,285,7,0
Dragonair DB+AT/DgP,630,1,35
Oinkologne (Female) MSl+BS/TBl,731,1,62
Sliggoo DB+BS/DgP,492,27,0
Sealeo PS+S/BS,537,1,10
Greedent MS+BS/TBl,746,1,66
Sealeo (Shadow) PS+S/BS,467,46,0
Diggersby MS+FiP/ScS,529,8,8
Dusclops H+IP/ShP,300,27,0
Grumpig Psy+DyP/SB,664,1,44
Cradily Ac+RT/GK,482,14,0
Florges FW+CW/DV,350,40,0
Lapras (Shadow) Psy+SpA/IB,652,1,41
Sableye SC+FoP/PG,272,20,0
Wigglytuff Ch+IW/Sw,441,27,0
Dusclops (Shadow) H+IP/ShP,324,14,0
Moltres (Galarian) SkP+Fl/BrB,302,20,0
Blastoise RO+HC/SkB,276,46,0
Clefable FW+M/MM,367,14,0
Mantine WA+Tw/WP,355,14,0
Talonflame (Shadow) I+FmC/Fl,340,7,0
Mandibuzz Sn+FoP/SB,533,8,9
Dewgong IS+IW/DR,615,1,31
Gastrodon MSl+BS/EP,638,8,37
Malamar Psy+SP/FoP,772,7,73
Steelix (Shadow) TF+PsF/Cr,626,1,34
Drapion (Shadow) PSt+Cr/AT,529,1,8
Ninetales (Alolan) PS+WBI/CW,320,33,0
Charjabug VS+XS/D,341,46,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,380,33,0
Swampert MS+HC/Eq,593,27,25
Aegislash (Shield) PC+SB/GB,388,8,0
Bastiodon SD+SE/Ft,266,33,0
Marowak (Shadow) MSl+BC/RS,480,14,0
Swampert (Shadow) MS+HC/Eq,537,1,10
Stunfisk (Galarian) MS+RS/Eq,258,46,0
Registeel LO+FC/FB,465,40,0
Stunfisk TS+MB/D,334,1,0
Dusknoir (Shadow) A+DyP/ShP,300,46,0
Hydreigon (Shadow) DB+BrS/Fl,552,7,14
Dunsparce RO+DR/RS,328,46,0
Jumpluff (Shadow) FW+EB/Acr,457,14,0
Malamar (Shadow) Psy+FoP/SP,701,7,54
Pelipper WA+WBW/Hu,256,20,0
Melmetal TS+DbI/DyP,611,1,30
Seaking Pk+DR/IW,452,14,0
Turtonator I+BrS/DC,544,1,12
Dondozo W+S/O,427,40,0
Gourgeist (Large) I+SB/SeB,491,14,0
Milotic W+AT/Wr,465,14,0
Morpeko (Full Belly) TS+AuW/PsF,503,7,1
Oranguru Cf+BrS/TBl,645,1,39
Gourgeist (Average) I+SB/SeB,495,14,0
Gourgeist (Super) I+SB/SeB,480,14,0
Hydreigon DB+BrS/Fl,641,20,38
Shelgon DB+Tw/Ft,567,1,18
Samurott FC+HC/Mh,548,1,13
Shelgon (Shadow) DB+Tw/Ft,345,20,0
Doublade SC+SSw/GB,367,14,0
Drapion PSt+Cr/AT,567,14,18
Morgrem SkP+FoP/PR,649,1,40
Castform (Sunny) E+WBF/SoB,287,20,0
Dusknoir A+DyP/ShP,411,40,0
Gourgeist (Small) I+SB/SeB,507,14,2
Crustle FC+XS/RW,300,7,0
Spidops SC+Lu/RT,438,14,0
Toxapex PJ+Bri/SW,355,8,0
Aromatisse FW+Psh/M,352,14,0
Milotic (Shadow) W+AT/Wr,638,1,37
Miltank RO+BS/Tb,330,46,0
Carbink RTh+RS/M,142,33,0
Golisopod FC+XS/AJ,529,1,8
Ludicolo A+WBW/EB,589,1,24
Primeape (Shadow) KC+RF/IP,413,33,0
Aurorus PS+WBI/MeB,667,7,45
Crustle (Shadow) FC+XS/RW,352,7,0
Gligar WA+NS/Dg,335,27,0
Politoed (Shadow) MS+WBW/IB,518,1,5
Togekiss Pk+Psh/AuS,347,1,0
Grumpig (Shadow) Psy+DyP/SB,630,1,35
Lumineon G+AT/SvW,452,27,0
Sylveon FW+Psh/SB,369,27,0
Noctowl WA+SB/Re,464,14,0
Toucannon Pk+BBl/DrlP,382,7,0
Toucannon (Shadow) Pk+BBl/DrlP,162,52,0
Walrein PS+ISp/Eq,428,46,0
Gligar (Shadow) WA+NS/Dg,374,27,0
Sandslash (Alolan) PS+IP/DR,686,7,50
Thievul SkP+NS/PR,630,1,35
Hippowdon SdA+WBR/EP,242,33,0
Lickitung L+BS/PW,604,27,28
Weezing (Galarian) (Shadow) FW+Sl/BrS,310,14,0
Araquanid BBi+WP/BuB,559,8,16
Cresselia PC+GK/M,567,8,18
Greninja (Shadow) WSh+HC/NS,701,7,54
Swalot MS+Sl/IB,286,27,0
Murkrow (Shadow) Pk+DrlP/FoP,162,52,0
Regidrago DB+DrE/VG,638,1,37
Goodra DB+AT/TP,311,46,0
Linoone SC+Sw/GK,656,1,42
Bellibolt TS+ZC/PbC,272,33,0
Pachirisu VS+HF/TP,341,1,0
Sandslash (Alolan) (Shadow) PS+IP/DR,626,7,34
Steelix TF+PsF/Cr,452,40,0
Zweilous DB+BS/DP,660,1,43
Kommo-o DT+ClS/UH,552,1,14
Lanturn WG+S/Tb,422,40,0
Spiritomb SkP+RT/SB,312,33,0
Araquanid (Shadow) BBi+BuB/WP,623,27,33
Giratina (Altered) (Shadow) DB+DC/SS,352,14,0
Qwilfish (Shadow) PSt+AT/SB,345,46,0
Annihilape LK+RF/IP,260,27,0
Diggersby (Shadow) MS+ScS/FiP,630,1,35
Klefki A+FoP/PR,491,27,0
Ledian RO+DyP/Acr,264,33,0
Marowak MSl+BC/RS,384,14,0
Walrein (Shadow) PS+ISp/Eq,454,20,0
Zweilous (Shadow) DB+BS/DP,589,33,24
Dragalge Ac+AT/O,371,14,0
Dudunsparce RO+BS/DR,567,1,18
Hakamo-o DT+BkB/RT,391,1,0
Pidgeot G+AC/BrB,281,7,0
Samurott (Shadow) FC+HC/Mh,415,46,0
Abomasnow (Shadow) PS+WBI/EB,518,33,5
Metang (Shadow) FC+Psh/GB,496,40,0
Politoed MS+WBW/IB,460,14,0
Dubwool DK+BS/Pbk,731,1,62
Gyarados DB+AT/Tw,559,14,16
Abomasnow PS+WBI/EB,444,33,0
Annihilape (Shadow) C+RF/IP,321,27,0
Hippowdon (Shadow) SdA+WBR/EP,278,33,0
Amoonguss A+FoP/GK,537,8,10
Charjabug (Shadow) VS+XS/D,376,33,0
Metang FC+Psh/GB,395,40,0
Poliwrath MS+IW/DyP,354,40,0
Bronzong Cf+WBW/Pbk,400,27,0
Emolga TS+Acr/D,248,7,0
Raikou TS+WC/AuS,318,7,0
Weezing (Galarian) FW+Sl/BrS,301,27,0
Castform H+WBR/EB,352,33,0
Castform (Rainy) WG+WBW/T,472,40,0
Dartrix Pk+BrB/EB,259,7,0
Dewott FC+AT/XS,675,1,47
Gyarados (Shadow) DB+AT/Tw,514,1,4
Orthworm MSl+RT/Eq,634,1,36
Rapidash (Shadow) I+DR/WC,428,7,0
Blastoise (Shadow) RO+HC/SkB,326,46,0
Tentacruel Ac+Sc/Pbk,320,14,0
Articuno PS+IW/Hu,349,20,0
Dewott (Shadow) FC+AT/XS,544,1,12
Primeape KC+RF/IP,522,1,6
Greninja WSh+HC/NS,742,7,65
Pangoro KC+CC/NS,679,1,48
Cradily (Shadow) Ac+RT/GK,340,7,0
Cetitan PS+ISp/SP,480,46,0
Electrode (Hisuian) TS+WC/EB,426,33,0
Machamp (Shadow) KC+CrC/RS,48,39,0
Qwilfish PSt+AT/SB,455,14,0
Torkoal E+FW/Ov,234,7,0
Gallade (Shadow) PC+CC/LB,667,1,45
Latias DB+AuS/MsB,567,1,18
Aurorus (Shadow) PS+WBI/MeB,608,7,29
Kecleon SkP+TP/DyP,667,1,45
Rufflet Pk+BrB/Fl,332,7,0
Dodrio Pk+DrlP/BrB,422,7,0
Oinkologne MSl+BS/TBl,708,1,56
Solrock Psy+WBF/RS,68,52,0
Wormadam (Trash) SkP+BBu/IH,444,40,0
Dragonite (Shadow) DB+TP/SP,464,46,0
Vespiquen FC+XS/PG,435,1,0
Gogoat VW+LB/RS,522,1,6
Grimmsnarl SkP+FoP/PR,593,1,25
Mightyena (Shadow) SkP+Cr/PF,652,20,41
Nidoqueen MSl+EP/PF,514,2,4
Swanna (Shadow) G+AJ/Fl,298,7,0
Dewgong (Shadow) IS+IW/DR,552,1,14
Machoke (Shadow) KC+CrC/DyP,731,1,62
Swanna G+AJ/Fl,257,7,0
Cetoddle PS+Av/BS,420,33,0
Coalossal FS+RS/FmC,278,7,0
Primarina W+DV/HC,419,1,0
Raichu TS+WC/TBl,324,7,0
Arctibax DB+Av/DC,526,46,7
Claydol MSl+RT/SB,483,27,0
Drampa DB+Sw/DgP,671,20,46
Gliscor WA+ST/Acr,198,20,0
Mawile FW+VG/IH,600,1,27
Amoonguss (Shadow) A+GK/FoP,686,1,50
Bellossom Ac+LB/DG,720,1,59
Klang MSo+VG/Tb,630,1,35
Lunatone Psy+WBI/RS,68,52,0
Marowak (Alolan) (Shadow) FS+SBo/BC,244,46,0
Ledian (Shadow) RO+DyP/Acr,238,7,0
Machamp KC+CrC/RS,318,33,0
Starmie Psy+AJ/PG,451,7,0
Ampharos VS+BrS/TBl,529,1,8
Poliwrath (Shadow) MS+IW/DyP,412,40,0
Qwilfish (Hisuian) PSt+AT/SB,585,1,23
Throh LK+BkB/BS,600,8,27
Amaura (Shadow) PS+WBI/Tb,604,7,28
Marowak (Alolan) FS+BC/SBo,288,14,0
Gallade PC+CC/LB,735,1,63
Latias (Shadow) DB+AuS/MsB,854,7,95
Registeel (Shadow) LO+FC/FB,690,1,51
Tinkatuff FW+PR/FC,392,27,0
Toedscruel MSl+SeB/EP,902,1,108
Hippopotas SdA+RT/BS,388,1,0
Hypno Cf+SB/TP,694,1,52
Blaziken E+AuS/BB,100,52,0
Murkrow Pk+DrlP/FoP,459,20,0
Bastiodon (Shadow) SD+SE/Ft,309,33,0
Samurott (Hisuian) FC+SSw/IW,735,46,63
Venusaur VW+FP/Sl,611,1,30
Cofagrigus SC+SB/Re,321,14,0
Rapidash I+DR/WC,366,7,0
Trumbeak (Shadow) Pk+DrlP/RB,151,52,0
Wartortle WG+AJ/IB,453,40,0
