Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,397,29,0
Lickilicky RO+BS/SB,403,13,0
Tinkaton FW+GH/Bd,539,0,14
Altaria DB+SA/Ft,311,78,0
Empoleon MSo+HC/DrlP,487,29,0
Altaria (Shadow) DB+SA/Ft,289,66,0
Empoleon (Shadow) MSo+HC/DrlP,508,21,3
Quagsire (Shadow) MS+AT/MB,684,1,66
Quagsire MS+AT/MB,547,3,17
Jellicent H+S/SB,400,45,0
Forretress VS+ST/RT,285,5,0
Ninetales E+WBF/EB,569,1,25
Ninetales (Shadow) E+WBF/EB,277,46,0
Feraligatr SC+HC/IB,476,29,0
Forretress (Shadow) VS+ST/RT,265,42,0
Corsola (Galarian) A+NSh/PG,456,33,0
Jumpluff FW+EB/Acr,281,78,0
Clodsire PSt+Eq/SE,583,25,30
Corviknight SdA+AC/Pbk,316,37,0
Fearow Pk+DrlP/DR,533,1,12
Azumarill B+IB/PR,673,2,62
Feraligatr (Shadow) SC+HC/IB,567,1,24
Kingdra DB+S/Sw,398,9,0
Guzzlord DT+BrS/SlB,271,25,0
Lapras Psy+SpA/IB,539,35,14
Corviknight (Shadow) SdA+AC/Pbk,493,37,0
Furret SkP+Sw/TBl,425,9,0
Kingdra (Shadow) DB+S/Sw,415,9,0
Dragonair (Shadow) DB+Wr/AT,374,4,0
Sableye (Shadow) SC+FoP/DrP,328,17,0
Seismitoad MS+EP/IW,645,1,52
Umbreon Sn+FoP/LR,400,16,0
Medicham PC+IP/DyP,464,29,0
Talonflame I+Fl/BrB,662,1,58
Dragonair DB+AT/DgP,275,46,0
Oinkologne (Female) MSl+BS/TBl,416,21,0
Sliggoo DB+BS/DgP,410,9,0
Sealeo PS+S/BS,687,11,67
Greedent MS+BS/TBl,381,13,0
Sealeo (Shadow) PS+S/BS,597,29,35
Diggersby MS+FiP/ScS,631,0,47
Dusclops H+IP/ShP,622,9,44
Grumpig Psy+DyP/SB,136,46,0
Cradily Ac+RT/GK,340,17,0
Florges FW+CW/DV,642,1,51
Lapras (Shadow) Psy+SpA/IB,522,3,8
Sableye SC+FoP/PG,144,46,0
Wigglytuff Ch+IW/Sw,482,33,0
Dusclops (Shadow) H+IP/ShP,678,1,64
Moltres (Galarian) SkP+Fl/BrB,366,25,0
Blastoise RO+HC/SkB,400,9,0
Clefable FW+M/MM,486,29,0
Mantine WA+Tw/WP,536,3,13
Talonflame (Shadow) I+FmC/Fl,547,1,17
Mandibuzz Sn+FoP/SB,405,28,0
Dewgong IS+IW/DR,756,15,92
Gastrodon MSl+BS/EP,410,9,0
Malamar Psy+SP/FoP,320,34,0
Steelix (Shadow) TF+PsF/Cr,142,46,0
Drapion (Shadow) PSt+Cr/AT,614,1,41
Ninetales (Alolan) PS+WBI/CW,748,0,89
Charjabug VS+XS/D,269,42,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,734,3,84
Swampert MS+HC/Eq,561,13,22
Aegislash (Shield) PC+SB/GB,541,3,15
Bastiodon SD+SE/Ft,496,20,0
Marowak (Shadow) MSl+BC/RS,547,1,17
Swampert (Shadow) MS+HC/Eq,382,46,0
Stunfisk (Galarian) MS+RS/Eq,485,29,0
Registeel LO+FC/FB,317,45,0
Stunfisk TS+MB/D,462,13,0
Dusknoir (Shadow) A+DyP/ShP,388,46,0
Hydreigon (Shadow) DB+BrS/Fl,137,30,0
Dunsparce RO+DR/RS,399,37,0
Jumpluff (Shadow) FW+EB/Acr,281,78,0
Malamar (Shadow) Psy+FoP/SP,359,34,0
Pelipper WA+WBW/Hu,304,46,0
Melmetal TS+DbI/DyP,232,42,0
Seaking Pk+DR/IW,442,29,0
Turtonator I+BrS/DC,553,1,19
Dondozo W+S/O,614,43,41
Gourgeist (Large) I+SB/SeB,418,5,0
Milotic W+AT/Wr,608,3,39
Morpeko (Full Belly) TS+AuW/PsF,122,18,0
Oranguru Cf+BrS/TBl,309,5,0
Gourgeist (Average) I+SB/SeB,439,5,0
Gourgeist (Super) I+SB/SeB,403,5,0
Hydreigon DB+BrS/Fl,336,9,0
Shelgon DB+Tw/Ft,459,17,0
Samurott FC+HC/Mh,382,46,0
Shelgon (Shadow) DB+Tw/Ft,386,4,0
Doublade SC+SSw/GB,405,13,0
Drapion PSt+Cr/AT,385,29,0
Morgrem SkP+FoP/PR,353,5,0
Castform (Sunny) E+WBF/SoB,239,46,0
Dusknoir A+DyP/ShP,561,1,22
Gourgeist (Small) I+SB/SeB,462,5,0
Crustle FC+XS/RW,304,46,0
Spidops SC+Lu/RT,480,4,0
Toxapex PJ+Bri/SW,701,3,72
Aromatisse FW+Psh/M,464,29,0
Milotic (Shadow) W+AT/Wr,469,33,0
Miltank RO+BS/Tb,423,17,0
Carbink RTh+RS/M,345,37,0
Golisopod FC+XS/AJ,522,17,8
Ludicolo A+WBW/EB,354,9,0
Primeape (Shadow) KC+RF/IP,422,6,0
Aurorus PS+WBI/MeB,213,46,0
Crustle (Shadow) FC+XS/RW,304,46,0
Gligar WA+NS/Dg,659,1,57
Politoed (Shadow) MS+WBW/IB,533,3,12
Togekiss Pk+Psh/AuS,278,34,0
Grumpig (Shadow) Psy+DyP/SB,265,46,0
Lumineon G+AT/SvW,583,3,30
Sylveon FW+Psh/SB,594,17,34
Noctowl WA+SB/Re,431,41,0
Toucannon Pk+BBl/DrlP,422,46,0
Toucannon (Shadow) Pk+BBl/DrlP,386,34,0
Walrein PS+ISp/Eq,877,3,135
Gligar (Shadow) WA+NS/Dg,581,1,29
Sandslash (Alolan) PS+IP/DR,608,0,39
Thievul SkP+NS/PR,370,17,0
Hippowdon SdA+WBR/EP,625,1,45
Lickitung L+BS/PW,516,0,6
Weezing (Galarian) (Shadow) FW+Sl/BrS,614,1,41
Araquanid BBi+WP/BuB,386,9,0
Cresselia PC+GK/M,406,4,0
Greninja (Shadow) WSh+HC/NS,391,21,0
Swalot MS+Sl/IB,608,21,39
Murkrow (Shadow) Pk+DrlP/FoP,237,34,0
Regidrago DB+DrE/VG,286,46,0
Goodra DB+AT/TP,457,13,0
Linoone SC+Sw/GK,464,29,0
Bellibolt TS+ZC/PbC,227,46,0
Pachirisu VS+HF/TP,401,5,0
Sandslash (Alolan) (Shadow) PS+IP/DR,695,1,70
Steelix TF+PsF/Cr,380,9,0
Zweilous DB+BS/DP,271,9,0
Kommo-o DT+ClS/UH,544,65,16
Lanturn WG+S/Tb,474,31,0
Spiritomb SkP+RT/SB,365,41,0
Araquanid (Shadow) BBi+BuB/WP,283,60,0
Giratina (Altered) (Shadow) DB+DC/SS,371,17,0
Qwilfish (Shadow) PSt+AT/SB,726,49,81
Annihilape LK+RF/IP,421,26,0
Diggersby (Shadow) MS+ScS/FiP,650,29,54
Klefki A+FoP/PR,393,33,0
Ledian RO+DyP/Acr,466,29,0
Marowak MSl+BC/RS,600,1,36
Walrein (Shadow) PS+ISp/Eq,835,13,120
Zweilous (Shadow) DB+BS/DP,128,46,0
Dragalge Ac+AT/O,508,1,3
Dudunsparce RO+BS/DR,617,1,42
Hakamo-o DT+BkB/RT,419,16,0
Pidgeot G+AC/BrB,461,9,0
Samurott (Shadow) FC+HC/Mh,382,46,0
Abomasnow (Shadow) PS+WBI/EB,505,1,2
Metang (Shadow) FC+Psh/GB,352,5,0
Politoed MS+WBW/IB,631,3,47
Dubwool DK+BS/Pbk,453,1,0
Gyarados DB+AT/Tw,479,17,0
Abomasnow PS+WBI/EB,589,3,32
Annihilape (Shadow) C+RF/IP,332,47,0
Hippowdon (Shadow) SdA+WBR/EP,592,1,33
Amoonguss A+FoP/GK,748,1,89
Charjabug (Shadow) VS+XS/D,269,42,0
Metang FC+Psh/GB,341,29,0
Poliwrath MS+IW/DyP,581,1,29
Bronzong Cf+WBW/Pbk,354,25,0
Emolga TS+Acr/D,256,34,0
Raikou TS+WC/AuS,258,26,0
Weezing (Galarian) FW+Sl/BrS,645,1,52
Castform H+WBR/EB,239,46,0
Castform (Rainy) WG+WBW/T,754,3,91
Dartrix Pk+BrB/EB,227,46,0
Dewott FC+AT/XS,564,9,23
Gyarados (Shadow) DB+AT/Tw,606,1,38
Orthworm MSl+RT/Eq,311,45,0
Rapidash (Shadow) I+DR/WC,424,34,0
Blastoise (Shadow) RO+HC/SkB,423,9,0
Tentacruel Ac+Sc/Pbk,756,1,92
Articuno PS+IW/Hu,882,21,137
Dewott (Shadow) FC+AT/XS,611,1,40
Primeape KC+RF/IP,500,26,0
Greninja WSh+HC/NS,365,29,0
Pangoro KC+CC/NS,210,18,0
Cradily (Shadow) Ac+RT/GK,402,17,0
Cetitan PS+ISp/SP,628,21,46
Electrode (Hisuian) TS+WC/EB,278,4,0
Machamp (Shadow) KC+CrC/RS,395,6,0
Qwilfish PSt+AT/SB,840,49,122
Torkoal E+FW/Ov,687,1,67
Gallade (Shadow) PC+CC/LB,399,18,0
Latias DB+AuS/MsB,182,24,0
Aurorus (Shadow) PS+WBI/MeB,317,46,0
Kecleon SkP+TP/DyP,692,5,69
Rufflet Pk+BrB/Fl,513,1,5
Dodrio Pk+DrlP/BrB,472,46,0
Oinkologne MSl+BS/TBl,715,1,77
Solrock Psy+WBF/RS,213,30,0
Wormadam (Trash) SkP+BBu/IH,337,45,0
Dragonite (Shadow) DB+TP/SP,420,4,0
Vespiquen FC+XS/PG,265,46,0
Gogoat VW+LB/RS,269,26,0
Grimmsnarl SkP+FoP/PR,413,9,0
Mightyena (Shadow) SkP+Cr/PF,135,46,0
Nidoqueen MSl+EP/PF,667,1,60
Swanna (Shadow) G+AJ/Fl,614,1,41
Dewgong (Shadow) IS+IW/DR,740,3,86
Machoke (Shadow) KC+CrC/DyP,426,6,0
Swanna G+AJ/Fl,659,1,57
Cetoddle PS+Av/BS,681,3,65
Coalossal FS+RS/FmC,715,1,77
Primarina W+DV/HC,634,13,48
Raichu TS+WC/TBl,280,34,0
Arctibax DB+Av/DC,505,9,2
Claydol MSl+RT/SB,363,45,0
Drampa DB+Sw/DgP,295,42,0
Gliscor WA+ST/Acr,673,1,62
Mawile FW+VG/IH,636,1,49
Amoonguss (Shadow) A+GK/FoP,717,1,78
Bellossom Ac+LB/DG,417,13,0
Klang MSo+VG/Tb,368,33,0
Lunatone Psy+WBI/RS,213,30,0
