Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,478,25,0
Tinkaton FW+GH/Bd,750,5,84
Altaria DB+SA/Ft,318,5,0
Empoleon MSo+HC/DrlP,663,10,55
Mimikyu SC+SS/PR,322,20,0
Altaria (Shadow) DB+SA/Ft,228,30,0
Empoleon (Shadow) MSo+HC/DrlP,607,0,36
Quagsire (Shadow) MS+AT/MB,645,5,49
Quagsire MS+AT/MB,601,15,34
Jellicent H+S/SB,487,25,0
Forretress VS+ST/RT,654,25,52
Ninetales E+WBF/EB,289,25,0
Cramorant Pk+Dve/Fl,250,0,0
Ninetales (Shadow) E+WBF/EB,337,25,0
Feraligatr SC+HC/IB,580,5,27
Forretress (Shadow) VS+ST/RT,747,5,83
Corsola (Galarian) A+NSh/PG,460,30,0
Jumpluff FW+EB/Acr,49,35,0
Clodsire PSt+Eq/SE,913,5,139
Corviknight SdA+AC/Pbk,316,25,0
Fearow Pk+DrlP/DR,322,30,0
Feraligatr (Shadow) SC+HC/IB,492,10,0
Kingdra DB+S/Sw,627,5,43
Azumarill B+IB/PR,589,10,30
Guzzlord DT+BrS/SlB,502,15,1
Furret SkP+Sw/TBl,375,10,0
Kingdra (Shadow) DB+S/Sw,300,35,0
Lapras Psy+SpA/IB,474,25,0
Corviknight (Shadow) SdA+AC/Pbk,376,25,0
Dragonair (Shadow) DB+Wr/AT,480,0,0
Sableye (Shadow) SC+FoP/DrP,514,5,5
Seismitoad MS+EP/IW,636,5,46
Umbreon Sn+FoP/LR,574,5,25
Medicham PC+IP/DyP,453,15,0
Talonflame I+Fl/BrB,314,10,0
Dragonair DB+AT/DgP,322,55,0
Oinkologne (Female) MSl+BS/TBl,329,10,0
Sliggoo DB+BS/DgP,523,5,8
Sealeo PS+S/BS,482,15,0
Greedent MS+BS/TBl,435,5,0
Grumpig Psy+DyP/SB,541,5,14
Sealeo (Shadow) PS+S/BS,627,5,43
Thievul SkP+NS/IW,550,5,17
Diggersby MS+FiP/ScS,387,25,0
Dusclops H+IP/ShP,544,0,15
Lapras (Shadow) Psy+SpA/IB,508,5,3
Sableye SC+FoP/PG,589,5,30
Wigglytuff Ch+IW/Sw,559,5,20
Cradily Ac+RT/GK,208,40,0
Dusclops (Shadow) H+IP/ShP,481,5,0
Florges FW+CW/DV,627,15,43
Moltres (Galarian) SkP+Fl/BrB,237,20,0
Blastoise RO+HC/SkB,699,5,67
Clefable FW+M/MM,705,5,69
Mantine WA+Tw/WP,347,5,0
Talonflame (Shadow) I+FmC/Fl,374,10,0
Mandibuzz Sn+FoP/SB,268,25,0
Dewgong IS+IW/DR,613,0,38
Malamar Psy+SP/FoP,747,5,83
Steelix (Shadow) TF+PsF/Cr,750,5,84
Charjabug VS+XS/D,684,5,62
Drapion (Shadow) PSt+Cr/AT,684,0,62
Gastrodon MSl+BS/EP,500,5,0
Ninetales (Alolan) PS+WBI/CW,610,5,37
Ninetales (Alolan) (Shadow) PS+WBI/CW,538,5,13
Swampert MS+HC/Eq,657,5,53
Aegislash (Shield) PC+SB/GB,508,20,3
Bastiodon SD+SE/Ft,863,5,122
Marowak (Shadow) MSl+BC/RS,571,5,24
Swampert (Shadow) MS+HC/Eq,492,10,0
Stunfisk (Galarian) MS+RS/Eq,791,5,98
Stunfisk TS+MB/D,770,5,91
Hydreigon (Shadow) DB+BrS/Fl,366,35,0
Registeel LO+FC/FB,913,5,139
Dusknoir (Shadow) A+DyP/ShP,338,0,0
Malamar (Shadow) Psy+FoP/SP,431,0,0
Dunsparce RO+DR/RS,619,0,40
Jumpluff (Shadow) FW+EB/Acr,49,35,0
Melmetal TS+DbI/DyP,720,10,74
Morpeko (Full Belly) TS+AuW/PsF,794,70,99
Pelipper WA+WBW/Hu,247,10,0
Turtonator I+BrS/DC,833,10,112
Oranguru Cf+BrS/TBl,341,10,0
Seaking Pk+DR/IW,613,15,38
Dondozo W+S/O,438,15,0
Gourgeist (Large) I+SB/SeB,168,30,0
Gourgeist (Super) I+SB/SeB,158,30,0
Milotic W+AT/Wr,565,5,22
Shelgon DB+Tw/Ft,559,5,20
Gourgeist (Average) I+SB/SeB,178,30,0
Hydreigon DB+BrS/Fl,505,10,2
Drapion PSt+Cr/AT,702,10,68
Shelgon (Shadow) DB+Tw/Ft,455,0,0
Doublade SC+SSw/GB,642,90,48
Morgrem SkP+FoP/PR,502,5,1
Samurott FC+HC/Mh,448,10,0
Crustle FC+XS/RW,580,5,27
Dusknoir A+DyP/ShP,361,20,0
Gourgeist (Small) I+SB/SeB,154,30,0
Castform (Sunny) E+WBF/SoB,476,10,0
Spidops SC+Lu/RT,347,5,0
Aromatisse FW+Psh/M,553,5,18
Toxapex PJ+Bri/SW,830,5,111
Miltank RO+BS/Tb,645,5,49
Carbink RTh+RS/M,794,25,99
Golisopod FC+XS/AJ,379,30,0
Milotic (Shadow) W+AT/Wr,419,10,0
Crustle (Shadow) FC+XS/RW,378,0,0
Ludicolo A+WBW/EB,257,0,0
Aurorus PS+WBI/MeB,610,5,37
Gligar WA+NS/Dg,225,30,0
Lumineon G+AT/SvW,630,15,44
Primeape (Shadow) KC+RF/IP,601,0,34
Togekiss Pk+Psh/AuS,321,30,0
Grumpig (Shadow) Psy+DyP/SB,382,0,0
Politoed (Shadow) MS+WBW/IB,648,5,50
Sylveon FW+Psh/SB,622,5,41
Toucannon Pk+BBl/DrlP,304,10,0
